"Genus","stage","extinct","mass_ext","log_range","log_bodysize"
"Pseudoasaphus",5,1,0,-0.945683692,0.883763907
"Pseudobasilicus",4,0,0,0.366148934,1.109371879
"Pseudobasilicus",5,1,0,-0.945683692,1.109371879
"Pseudocalymene",1,0,0,0.877974227,0.986085052
"Pseudocalymene",2,0,0,0,0.986085052
"Pseudocalymene",3,0,0,0,0.986085052
"Pseudocalymene",4,1,0,0.613910651,0.986085052
"Pseudocryphaeus",17,0,0,0.519188061,0.543674071
"Pseudocryphaeus",18,1,0,-0.9059852,0.543674071
"Pseudocybele",1,1,0,-1.305024977,-0.505943229
"Pseudogygites",6,1,0,-1.185468733,1.241428267
"Pseudohysterolenus",1,1,0,0.787550294,-0.610392228
"Pseudokainella",1,1,0,1.068385984,-1.641332469
"Pseudomegalaspis",4,1,0,0.395749815,1.194829455
"Pseudomera",3,0,0,0.544429854,-0.513010598
"Pseudomera",4,1,0,0.77228975,-0.513010598
"Pseudophillipsia",29,0,0,-0.76318297,0.309160126
"Pseudophillipsia",30,0,0,-0.771346118,0.309160126
"Pseudophillipsia",31,0,0,-0.934554047,0.309160126
"Pseudophillipsia",33,0,0,0.396926657,0.309160126
"Pseudophillipsia",34,0,0,1.322916989,0.309160126
"Pseudophillipsia",35,0,0,1.390205917,0.309160126
"Pseudophillipsia",36,0,0,1.70087669,0.309160126
"Pseudophillipsia",37,0,0,2.041241452,0.309160126
"Pseudophillipsia",38,1,0,0,0.309160126
"Pseudoproetus",9,1,0,-1.025088558,0.025799705
"Pseudosphaerexochus",4,0,0,0.873448978,1.105143214
"Pseudosphaerexochus",5,0,0,1.438978626,1.105143214
"Pseudosphaerexochus",6,0,0,1.150503559,1.105143214
"Pseudosphaerexochus",7,1,0,1.316968422,1.105143214
"Pseudosphaerexochus (Pateraspis)",4,1,0,-1.234632203,1.105143214
"Psilocephalina",1,1,0,0.886390158,0.332841808
"Pteroparia",21,1,0,-0.716728955,-1.275980365
"Pterygometopus",4,0,0,0.896285153,0.185478945
"Pterygometopus",6,1,0,-1.185468733,0.185478945
"Ptilillaenus",9,0,0,-1.025088558,1.048738967
"Ptilillaenus",10,1,0,0.145134899,1.048738967
"Ptychopleurites",1,1,0,0.738903755,-1.658968057
"Ptychopyge",4,1,0,0.817668782,1.024791889
"Ptyocephalus",1,0,0,-1.305024977,-0.317704916
"Ptyocephalus",5,1,0,-0.945683692,-0.317704916
"Ptyocephalus",1,0,0,-1.305024977,-0.317704916
"Ptyocephalus",5,1,0,-0.945683692,-0.317704916
"Raphiophorus",1,0,0,-1.305024977,-1.782335479
"Raphiophorus",4,0,0,1.0595387,-1.782335479
"Raphiophorus",6,0,0,-1.185468733,-1.782335479
"Raphiophorus",7,0,0,-0.667231623,-1.782335479
"Raphiophorus",9,0,0,-1.025088558,-1.782335479
"Raphiophorus",11,0,0,-1.282184733,-1.782335479
"Raphiophorus",12,0,0,0.506834166,-1.782335479
"Raphiophorus",13,0,0,0,-1.782335479
"Raphiophorus",14,0,0,-1.056265867,-1.782335479
"Raphiophorus",15,1,0,0,-1.782335479
"Rasettia",1,1,0,1.014353453,0.769037527
"Raymondaspis",4,0,0,0.980587467,-0.700517906
"Raymondaspis",5,0,0,1.076542757,-0.700517906
"Raymondaspis",6,1,0,-1.185468733,-0.700517906
"Raymondella",5,0,0,1.242262094,-1.634790265
"Raymondella",6,1,0,0.923328011,-1.634790265
"Reedocalymene",4,0,0,-1.234632203,0.091554147
"Reedocalymene",6,1,0,-1.185468733,0.091554147
"Reedolithus",4,0,0,-1.234632203,0.079690047
"Reedolithus",5,1,0,0.126074405,0.079690047
"Reedops",16,0,0,0.764432445,1.182260831
"Reedops",17,0,0,0.68019352,1.182260831
"Reedops",18,1,0,0,1.182260831
"Remopleurella",4,0,0,-1.234632203,-3.466312569
"Remopleurella",5,0,0,-0.945683692,-3.466312569
"Remopleurella",6,1,0,1.150683259,-3.466312569
"Remopleurides",1,0,0,-1.305024977,0.096192379
"Remopleurides",4,0,0,1.14824433,0.096192379
"Remopleurides",5,0,0,1.47461918,0.096192379
"Remopleurides",6,1,0,1.131085852,0.096192379
"Remopleuridiella",1,0,0,0.681671427,-2.617391299
"Remopleuridiella",5,1,0,-0.945683692,-2.617391299
"Reuscholithus",5,1,0,-0.945683692,0.077152241
"Rhadinopleura",1,1,0,-1.305024977,-1.383602755
"Rhenops",18,1,0,-0.9059852,0.637961488
"Rhombampyx",2,0,0,-0.73925552,-0.623480499
"Rhombampyx",3,0,0,-0.596780284,-0.623480499
"Rhombampyx",5,1,0,-0.945683692,-0.623480499
"Richardsonella",1,1,0,0.894862134,0.012513555
"Robergia",4,0,0,0.881205193,-0.900254334
